latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:city:en,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,building,name,cuisine,internet_access,name:en,smoking,name:mk,int_name,old_name,opening_hours,source,wifi,website,building:levels,outdoor_seating,location,is_in,shop,cof,wheelchair,internet_access:fee,email,level,phone,leisure,addr:street:en,operator,diet:vegan,name:sq,dog,diet:vegetarian,name:ru,addr:housename,takeaway
41.992653,21.429836,,Point,,node/459670881,Скопје,,,,1000,Македонија,cafe,,Play Cafe,,,Play Cafe,,,,,Mo-Su 09:00-21:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9939731,21.4164328,,Point,,node/459672751,,,,,,,cafe,,,,,,,,,СПА,,,,,,,,,,,,,,,,,,,,,,,,,
41.9934306,21.4162239,,Point,,node/459673240,,,,,,,cafe,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9984414,21.4373453,,Point,,node/459752642,,,,,,,cafe,,Bistro Opera Pub,,,,,,,,24/7,,,,,,Center,,,,,,,,,,,,,,,,,,
42.0031059,21.3999451,,Point,,node/459801246,,,,,,,cafe,,Мартини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0047028,21.4159604,,Point,,node/459802458,,,,,,,cafe,,Бугати,,,Bugatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0009888,21.417262,,Point,,node/1355292490,,,,,,,cafe,,Кафе Змија,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0007963,21.4175044,,Point,,node/1355306911,,,,2,,Благој Давков,cafe,,Кафе Филипос,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0313055,21.3479915,,Point,,node/1475388233,,,,,,,cafe,,,,,,,,,,,,,,,,,Novo Selo,,,,,,,,,,,,,,,,,
42.0034224,21.398346,,Point,,node/1615830879,,,,,,,cafe,,Fluid,,,Fluid,,Флуид,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.997291,21.4091295,,Point,,node/1752184797,,,,,,,cafe,,Ли,coffee_shop,,Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9915282,21.4504664,,Point,,node/1851476126,,,,,,,cafe,,Red Caffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0026068,21.4644629,,Point,,node/1860365710,,,,,,,cafe,,Аристократ кафе,,,Aristokrat cafe,,,,,,,,,,,,,confectionery,,,,,,,,,,,,,,,,
41.9897212,21.4768613,,Point,,node/1876583691,,,,,,,cafe,,Кафе Писта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9894222,21.4758817,,Point,,node/1876584011,,,,,,,cafe,,Кафе Мамбо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9851089,21.4659543,,Point,,node/2004975256,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9950653,21.4324491,,Point,,node/2054895230,,,,,,,cafe,,Up Cafe,,,,,,,,Mo-Sa 08:00-18:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.995913,21.4093297,,Point,,node/2276498829,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0071574,21.3722969,,Point,,node/2298054794,,,,,,,cafe,,Badu,,,,,,,,,,,,,,,,,cof,,,,,,,,,,,,,,,
41.9734649,21.446234,,Point,,node/2539581007,,,,,,,cafe,,Quatro Caffe,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9732771,21.4456656,,Point,,node/2539581507,,,,,,,cafe,,Bass Cafe,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9955477,21.4308204,,Point,,node/2814545377,,,,1,,Никола Вапцаров,cafe,,Bocata,,yes,,,,Bokata,,Mo-Su 08:00-23:00,,,,,,Center,,,,limited,,,,,,,,,,,,,,
41.9949424,21.4308588,,Point,,node/2814545378,Скопје,,,,1000,Македонија,cafe,,Coffee Factory 2,,,,,,,,Mo-Sa 08:00-01:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9885844,21.4534598,,Point,,node/2883877894,,,,,,,cafe,,Палма,,yes,,outside,,,,,,,,,yes,,,,,no,no,,,,,,,,,,,,,
42.0017629,21.4370632,,Point,,node/2992591829,Cкoпje,Skopje,MK,,1000,,cafe,,Mon Frere,Coffee;_Tea;_cold_drinks,yes,,outside,,,,Mo-Su 08:00-23:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
41.999241,21.4368849,,Point,,node/3101725379,,,,,,,cafe,,Old Town,,,,,,,,Mo-Su 10:00-22:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
42.0000003,21.4358699,,Point,,node/3101726037,,,,,,,cafe,,Nargile Cafe,,,,,,,,Mo-Su 10:00-22:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
41.9958677,21.4330712,,Point,,node/3103985004,Cкoпje,,MK,,1000,Кеј 13 Ноември,cafe,,Telekom Trend Lounge Bar,ice_cream;pizza;pasta,wlan,,separated,,,,Mo-Su 08:00-24:00,,,,,yes,Center,,,,yes,no,,,,,,,,,,,,,
41.9944452,21.4306195,,Point,,node/3341289752,Скопје,,,41,1000,Македонија,cafe,,Bistro Skopje,,,,separated,,,,Mo-Su 09:00-21:00,,,,,yes,Center,,,,yes,,,,,,,,,,,,,,
41.9938562,21.430365,,Point,,node/3341289753,Скопје,,,,1000,Македонија,cafe,,Gnezdo,,,,,,,Il Caffè di Roma,Mo-Su 08:00-22:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9929701,21.4302256,,Point,,node/3341289786,Скопје,,,,1000,Македонија,cafe,,Caffe Novo,,,,,,,,Mo-Su 09:00-22:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9927362,21.4298707,,Point,,node/3341289788,Скопје,,,,1000,Македонија,cafe,,Caffe Bar Dolce Vita,,,,,,,,Mo-Su 09:00-21:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9923772,21.4293734,,Point,,node/3341289790,Скопје,,,,1000,Даме Груев,cafe,,Corsso,,,,,,,,24/7,,,,,,Center,,,,,,,,,,,,,,,,,,
42.0043361,21.3906406,,Point,,node/3506696093,,,,,,,cafe,,Trend Food Bar,ice_cream,,Trend Food Bar,separated,,,,08:00-00:00; Fr-Sa 08:00-01:00,,,http://www.caffetrend.mk/,,yes,,,,,,,trendcitymall@caffetrend.mk,0,+389 70 306 425,,,,,,,,,,
42.0038265,21.415006,,Point,,node/3663767991,Cкoпje,,,,1000,,cafe,,The Gallery,,,,,,,,Mo-Th 07:30-24:00; Fr 07:30-01:00; Sa 08:00-01:00; Su 08:00-24:00,,,,,,,,,,,,,,,,,,,,,,,,
42.0039722,21.4151255,,Point,,node/3663767992,Cкoпje,,,,1000,,cafe,,MonAmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0040547,21.415173,,Point,,node/3663767994,Cкoпje,,,,1000,,cafe,,Жапон Кафе Бар,,,Zapon Coffee Bar,,,,,07:30 - 23:30,,,,,,,,,,,,,,,,,,,,,,,,
42.0042809,21.4146731,,Point,,node/3663767995,Cкoпje,,,,1000,,cafe,,Cafe Bela,,,,,,,,09:00 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,
42.0038662,21.3921091,,Point,,node/3750783154,,,,,,,cafe,,Play Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.999411,21.4127725,,Point,,node/3755532975,,,,,,,cafe,,Концепт37,,,Concept37,,,Koncept37,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9898526,21.4197114,,Point,,node/3832366897,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9937283,21.4171739,,Point,,node/4059907155,,,,,,,cafe,,Авантура,,,,,,,,,,,,,,,,,,,,,,,playground,,,,,,,,,
42.004606,21.3862677,,Point,,node/4198944089,Cкoпje,,MK,4,,Љубљанска,cafe,,Ch2pter,,,Ch2pter,separated,,,,09:00-23:45; Fr-Sa 09:00-23:45,,,http://www.caffetrend.mk/,,yes,,,,,,,,,+389 75 490 155,,Ljubljanska,,,,,,,,
42.0151641,21.3990452,,Point,,node/4225448689,,,,,,,cafe,,Tonnis Bakeri,,wlan,,outside,,,,,,,,,,,,,,,no,,,,,,Tonnish Bakeri,,,,,,,
42.0137478,21.404147,,Point,,node/4228828360,,,,,,,cafe,,Coffeeshop Company lounge,local,,Mezzo Coffee & Lounge,,,,,,,,,,,,,,,,,,,,,,Sistina,,,,,,,
42.0433297,21.3418406,,Point,,node/4233194691,,,,,,,cafe,,Makreshanki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9984995,21.4168806,,Point,,node/4234144690,,,,,1000,Владимир Полежановски,cafe,,Belier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0048738,21.3910392,,Point,,node/4247226994,,,,,,,cafe,,Juicy and Co,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,
41.9994358,21.4366103,,Point,,node/4304451302,,,,,,,cafe,,Clique Bar,,wlan,,,,,,24/7,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
42.0033204,21.3981384,,Point,,node/4327921320,,,,,,,cafe,,Prikazna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9911127,21.4454673,,Point,,node/4359833889,,,,,,,cafe,,,,wlan,Cafe Jabolko,,,,,Mo-Su 06:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,
41.9728434,21.4448074,,Point,,node/4375519489,,,,,1000,Христо Татарчев,cafe,,Гет Кафе,,,Get caffe,,Гет Кафе,,,Mo-Su 10:00-00:00,,,,,,,,,,,,,,,,,,,,,,,,
41.9919726,21.4496023,,Point,,node/4516027391,,,,,,,cafe,,,,,Get Caffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9954521,21.4271773,,Point,,node/4846704245,,,,,,,cafe,,Крин,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
41.9885027,21.453477,,Point,,node/4986311121,,,,,,,cafe,,,,,Happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0131776,21.4378942,,Point,,node/5062450021,,,,,1000,Џон Кенеди,cafe,,Te Flladi,balkan,wlan,,,,,,Mo-Su 06:00-02:00,,,,,,,,,,,,,,+38978324244,,,Nazim Sulejmani,,,,,,,
42.0011325,21.4375923,,Point,,node/5110720231,,,,,,,cafe,,Shisha,,,Shisha,,,Shisha,,Mo-Su 10:00-22:00,,,,,yes,Old Bazaar,,,,,,,,,,,,,Shisha,,,,,
41.9927714,21.4192046,,Point,,node/5176248987,,,,,,,cafe,,Изи,,,Izzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0013652,21.4216953,,Point,,node/5284221296,,,,,,,cafe,,Laika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9958526,21.4230134,,Point,,node/5288522422,,,,,,,cafe,,Еу ејџ,,,,,Њу ејџ,New Age,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9768128,21.4444199,,Point,,node/5292130834,,,,,,,cafe,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0034483,21.3991821,,Point,,node/5333583388,,,,,,,cafe,,Giovani,regional,,Giovani,,Џовани,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0047408,21.40994,,Point,,node/5346935627,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0023198,21.4218407,,Point,,node/5534803022,,,,,1000,,cafe,,Кахава,,,Cahawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9986406,21.4253762,,Point,,node/5604182920,Cкoпje,,,14,1000,Булевар Партизански Одреди,cafe,,Mikel,,,Vinyl,,,,,,,,https://www.facebook.com/vinylmk/,,,,,,,,,,,,,,,,,,,,,
42.0087916,21.4181784,,Point,,node/5622210754,,,,,,,cafe,,Централ Парк,,,Central Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9922468,21.4264143,,Point,,node/5690140438,,,,,,,cafe,,DejaVu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9922273,21.4266738,,Point,,node/5690140660,,,,,,,cafe,,Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0229571,21.3885778,,Point,,node/5713714222,,,,,,,cafe,,AvAv Dog Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,
41.9931868,21.4414844,,Point,,node/5775030453,,,,,,,cafe,,,,,O La La,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9651051,21.3943158,,Point,,node/5841696956,,,,,,,cafe,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
42.0128215,21.4341981,,Point,,node/5859233985,,,,,255,,cafe,,Kandi,coffee_shop;balkan;ice_cream;irish;regional;tea;turkish,wlan,Kandy,,,,,Mo-Su 07:15-00:00,,,,,,,,,,,,,,,,,Mensur&Hasan,,,,,,,
41.9987593,21.4242861,,Point,,node/6018277285,,,,,,,cafe,,,,,7 Grama Espresso Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9971825,21.4284228,,Point,,node/6018277485,,,,,,,cafe,,Squeeze Me,,,Squeeze Me,,,,,Mo-Su 09:00-21:00,,,,,,Center,,,,,,,,,,,,,,,,,,
42.0002555,21.4361778,,Point,,node/6032865285,,,,,,,cafe,,k8,crepe;coffee_shop;cake;ice_cream,,,,,,,Mo-Su 10:00-22:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
41.9946427,21.4186412,,Point,,node/6054020294,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9970171,21.428439,,Point,,node/6054032912,,,,,,,cafe,,Manda Coffee Bar,,,,,,,,Mo-Su 09:00-21:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9938516,21.4277166,,Point,,node/6054035625,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9992004,21.417224,,Point,,node/6054036211,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9990907,21.4172361,,Point,,node/6054036212,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9970085,21.4233514,,Point,,node/6054048492,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0003534,21.4158769,,Point,,node/6054048726,,,,,,,cafe,,Paladin M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9956195,21.4113168,,Point,,node/6054048730,,,,,,,cafe,,Woodstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9947238,21.4173314,,Point,,node/6054049813,,,,,,,cafe,,Mezzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9980418,21.4244255,,Point,,node/6054050095,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0038026,21.3970638,,Point,,node/6089711779,,,,,,,cafe,,Led Zeppelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0030494,21.3994796,,Point,,node/6145381755,,,,,,,cafe,,Sugarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.004566,21.393778,,Point,,node/6228007184,,,,,,,cafe,,Krem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0012294,21.423008,,Point,,node/6307066053,Cкoпje,,,93,1000,Орце Николов,cafe,,fourplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0055109,21.4109206,,Point,,node/6374712571,Cкoпje,,,9A,1000,Никола Тесла,cafe,,Joy Café & Bakery (Karposh),sandwich;coffee_shop;bakery;ice_cream,,,,,,,,,,https://www.facebook.com/joycafeandbakery/,,yes,,,,,,,,,+389 2 307 6955,,,,,,,,,,
41.9907255,21.4260361,,Point,,node/6451451785,,,,,,,cafe,,Coffee O'Clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9992458,21.4263142,,Point,,node/6577887485,,,,,,Булевар Климент Охридски,cafe,,Веган365Кујна,burger;sandwich;cake;coffee_shop,,Vegan365Kitchen,,,,,Mo-Fr 09:00-17:00,,,https://vegan365kitchen.com/,,,,,,,,,,,+389 75 585 255,,,,yes,,,yes,Веган365Кухня,,
41.9994044,21.4368049,,Point,,node/6680280012,Cкoпje,,,18,,Казанџиска,cafe,,Boomerang Shisha,,wlan,,,,,,24/7,,free,,,yes,Old Bazaar,,,,,,,,,,,,,,,,,Boomerang Shisha,
41.9973064,21.4297354,,Point,,node/6802029812,,,,,,,cafe,,Home Brews,coffee_shop;sandwich;cake,,,,,,,Mo-Su 09:00-22:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9999671,21.4370091,,Point,,node/6814231792,,,,,,,cafe,,Urban,,,,,,,,24/7,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
42.0003942,21.4364615,,Point,,node/6814246690,,,,,,,cafe,,Coffe Tearoom Lachi,,,,,,,,Mo-Sa 08:00-18:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
41.999797,21.4373153,,Point,,node/6814246723,,,,,,,cafe,,Bomonti,,,,,,,,Mo-Su 10:00-22:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
41.9967222,21.4225095,,Point,,node/6815434688,,,,,,,cafe,,Toto,,,Toto Daily Bistro,,,,,Mo-Sa 08:00-01:00,,,,,,,,,,,,,,,,,,,,,,,,
41.9981835,21.4234973,,Point,,node/6815559888,Cкoпje,,,23,1000,Булевар Партизански Одреди,cafe,,Shakespeare Cafe,,,,,Шекспир Кафе,,,Mo-Su 08:00-00:00,,,,,yes,,,,,,,,,,,,,,,,,,,
41.9974479,21.4223059,,Point,,node/6815925985,,,,,,,cafe,,Juicy&co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0005998,21.4192379,,Point,,node/6815931287,,,,,,,cafe,,Зафир,cake;ice_cream;coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0023667,21.4222629,,Point,,node/6815931391,,,,,,,cafe,,Majahh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0030613,21.4385935,,Point,,node/6821158386,,,,,,,cafe,,Kairo,,,,,,,,Mo-Su 09:00-21:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
41.9940274,21.4304151,,Point,,node/6821158388,,,,,,,cafe,,Stay you,,,,,,,,Mo-Su 08:00-22:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9924937,21.4300488,,Point,,node/6821158389,,,,,,,cafe,,JJ&S,,,,,,,,Mo-Su 09:00-21:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9976507,21.434633,,Point,,node/6821158686,,,,,,,cafe,,Mulliri,,,,,,,,Mo-Su 11:00-23:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9939851,21.430389,,Point,,node/6821158695,,,,,,,cafe,,MIG,,,,,,,,Mo-Su 09:00-21:00,,,,,,Center,,,,,,,,,,,,,,,,,,
42.0009497,21.438158,,Point,,node/6827032732,,,,,,,cafe,,Gallery 7,,,,,,,,Mo-Su 09:00-21:00,,,,,,Old Bazaar,,,,,,,,,,,,,,,,,,
42.0027924,21.4406076,,Point,,node/6827072094,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0027827,21.4402065,,Point,,node/6827074010,,,,,,,cafe,,Sultan Kejf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9906887,21.4147527,,Point,,node/6879115187,,,,,,,cafe,,,,wlan,Drip Coffee (Specialty Coffee),,,,,Mo-Fr 07:30-18:00; Sa 09:00-15:00,,,,,,,,,,,,,,,,,,,,,,,,
41.9979406,21.4246771,,Point,,node/6967285685,,,,17,,Булевар Партизански Одреди,cafe,,,,wlan,Short bus,,,,,Mo-Th 09:00-00:00; Fr-Sa 09:00-01:00; Su 17:00-00:00,,,,,,,,,,,,,,,,,,,,,,,,
42.0019011,21.413452,,Point,,node/7119714585,,,,,,,cafe,,Рузвелт,,wlan,Roosvelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9932519,21.4297974,,Point,,node/8121684194,,,,,,,cafe,,Cafe Barcelona,,,,,,,,Mo-Sa 08:00-18:00,,,,,,Center,,,,,,,,,,,,,,,,,,
41.9929511,21.430208,,Point,,node/8188528781,,,,,,,cafe,,Joy Café & Bakery (Centar),bakery;sandwiches;coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.998628,21.405925,,Point,,node/9163117743,Cкoпje,,,2,1000,Њуделхиска,cafe,,Plato Coffee 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9949215,21.4245361,,Point,,node/9200216438,,,,,,,cafe,,Lafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9899157,21.4326376,,Point,,node/9200216442,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0010222,21.4355656,,Point,,node/9200216443,,,,,,,cafe,,Coffee corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
